-2.090000000000000000e+02 1.080000000000000000e+02 3.674234614174767266e+00
-1.436666666666666572e+02 8.533333333333332860e+01 1.329995822884000134e+01
-3.800000000000000000e+01 9.350000000000000000e+01 3.500000000000000000e+00
-2.233333333333333215e+01 1.638000000000000114e+02 7.262834616502475171e+01
-1.612500000000000000e+01 1.434312499999999773e+02 5.075558736176244423e+01
-8.000000000000000000e+00 1.884666666666666970e+02 5.215932855736887319e+01
1.140000000000000036e+01 8.634000000000000341e+01 2.353003187418155662e+01
1.728571428571428470e+01 5.298571428571428044e+01 1.877204826113462133e+01
2.466666666666666785e+01 8.355000000000001137e+01 1.889645028393780990e+01
3.400000000000000000e+01 1.080000000000000000e+02 7.000000000000000000e+00
2.207500000000000000e+02 8.825000000000000000e+01 6.015604707757982617e+00
